6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10
8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,12,13,14,1,1,1,1,1,1,1,1,1,1,12,13,14,1,1
1,1,15,16,17,1,1,1,1,1,1,1,1,1,1,15,16,17,1,1
1,1,18,19,20,1,1,1,1,1,1,1,1,1,1,18,19,20,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,12,13,14,1,1,1,1,1,1,1,1,1,1,12,13,14,1,1
1,1,15,16,17,1,1,1,1,1,1,1,1,1,1,15,16,17,1,1
1,1,18,19,20,1,1,1,1,1,1,1,1,1,1,18,19,20,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
